CDC English	CDC Spanish	NIH English	NIH Spanish
Count: 	8
1,2,3,4,6,7,8,9-octachlorodibenzofuran	1,2,3,4,6,7,8,9-octaclorodibenzofurano	asthma	asma
1-800-QUIT-NOW	1-855-DÉJELO-YO	asthma	asma
6 months and older	6 meses o mayores	asthma	asma
6 months and older	6 meses o más	asthma	asma
6 months and older	de 6 meses en adelante	asthma	asma
acquired immune deficiency syndrome	síndrome de inmunodeficiencia adquirida	asthma	asma
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	asthma	asma
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida	asthma	asma
